NACE_CODE_1;NACE_CODE_2;NACE-Level;NACE Category Name;DIT Main Category;DIT Sub Category;DIT.ID.x
A;A;1;Agriculture,forestry and fishing;Agriculture, Forestry, Fishing;;1000
A1;A1;2;Crop and animal production, hunting and related service activities;Agriculture, Forestry, Fishing;Agriculture;1001
A11;A1.1;3;Growing of non-perennial crops;Agriculture, Forestry, Fishing;Agriculture;1001
A111;A1.11;4;Growing of cereals (except rice), leguminous crops and oil seeds;Agriculture, Forestry, Fishing;Agriculture;1001
A112;A1.12;4;Growing of rice;Agriculture, Forestry, Fishing;Agriculture;1001
A113;A1.13;4;Growing of vegetables and melons, roots and tubers;Agriculture, Forestry, Fishing;Agriculture;1001
A114;A1.14;4;Growing of sugar cane;Agriculture, Forestry, Fishing;Agriculture;1001
A115;A1.15;4;Growing of tobacco;Agriculture, Forestry, Fishing;Agriculture;1001
A116;A1.16;4;Growing of fibre crops;Agriculture, Forestry, Fishing;Agriculture;1001
A119;A1.19;4;Growing of other non-perennial crops;Agriculture, Forestry, Fishing;Agriculture;1001
A12;A1.2;3;Growing of perennial crops;Agriculture, Forestry, Fishing;Agriculture;1001
A121;A1.21;4;Growing of grapes;Agriculture, Forestry, Fishing;Agriculture;1001
A122;A1.22;4;Growing of tropical and subtropical fruits;Agriculture, Forestry, Fishing;Agriculture;1001
A123;A1.23;4;Growing of citrus fruits;Agriculture, Forestry, Fishing;Agriculture;1001
A124;A1.24;4;Growing of pome fruits and stone fruits;Agriculture, Forestry, Fishing;Agriculture;1001
A125;A1.25;4;Growing of other tree and bush fruits and nuts;Agriculture, Forestry, Fishing;Agriculture;1001
A126;A1.26;4;Growing of oleaginous fruits;Agriculture, Forestry, Fishing;Agriculture;1001
A127;A1.27;4;Growing of beverage crops;Agriculture, Forestry, Fishing;Agriculture;1001
A128;A1.28;4;Growing of spices, aromatic, drug and pharmaceutical crops;Agriculture, Forestry, Fishing;Agriculture;1001
A129;A1.29;4;Growing of other perennial crops;Agriculture, Forestry, Fishing;Agriculture;1001
A13;A1.3;3;Plant propagation;Agriculture, Forestry, Fishing;Agriculture;1001
A130;A1.30;4;Plant propagation;Agriculture, Forestry, Fishing;Agriculture;1001
A14;A1.4;3;Animal production;Agriculture, Forestry, Fishing;Agriculture;1001
A141;A1.41;4;Raising of dairy cattle;Agriculture, Forestry, Fishing;Agriculture;1001
A142;A1.42;4;Raising of other cattle and buffaloes;Agriculture, Forestry, Fishing;Agriculture;1001
A143;A1.43;4;Raising of horses and other equines;Agriculture, Forestry, Fishing;Agriculture;1001
A144;A1.44;4;Raising of camels and camelids;Agriculture, Forestry, Fishing;Agriculture;1001
A145;A1.45;4;Raising of sheep and goats;Agriculture, Forestry, Fishing;Agriculture;1001
A146;A1.46;4;Raising of swine/pigs;Agriculture, Forestry, Fishing;Agriculture;1001
A147;A1.47;4;Raising of poultry;Agriculture, Forestry, Fishing;Agriculture;1001
A149;A1.49;4;Raising of other animals;Agriculture, Forestry, Fishing;Agriculture;1001
A15;A1.5;3;Mixed farming;Agriculture, Forestry, Fishing;Agriculture;1001
A150;A1.50;4;Mixed farming;Agriculture, Forestry, Fishing;Agriculture;1001
A16;A1.6;3;Support activities to agriculture and post-harvest crop activities;Agriculture, Forestry, Fishing;Agriculture;1001
A161;A1.61;4;Support activities for crop production;Agriculture, Forestry, Fishing;Agriculture;1001
A162;A1.62;4;Support activities for animal production;Agriculture, Forestry, Fishing;Agriculture;1001
A163;A1.63;4;Post-harvest crop activities;Agriculture, Forestry, Fishing;Agriculture;1001
A164;A1.64;4;Seed processing for propagation;Agriculture, Forestry, Fishing;Agriculture;1001
A17;A1.7;3;Hunting, trapping and related service activities;Agriculture, Forestry, Fishing;Agriculture;1001
A170;A1.70;4;Hunting, trapping and related service activities;Agriculture, Forestry, Fishing;Agriculture;1001
